"Experiment","Region","Type","Variable","GTAPVar","Description","Unit","Value","Dim1"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-154.855880737305,"prodtax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-1.80359784280881e-05,"inctax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-31.062427520752,"inputtax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-9.05222320556641,"contax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.26105737686157,"invtax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",2.16804051399231,"govtax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",98.1474838256836,"xtax"
"ExB14","SSA","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",65.5063629150391,"mtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",2623.00048828125,"prodtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-0.000451504602096975,"inctax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",155.381591796875,"inputtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",131.920715332031,"contax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-2.61830377578735,"invtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",25.9280109405518,"govtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",3423.16748046875,"xtax"
"ExB14","EU","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",1787.63745117188,"mtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-37.3078384399414,"prodtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0,"pfacttax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",0.000201071656192653,"inctax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-400.081970214844,"inputtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-440.587554931641,"contax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",35.0250663757324,"invtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",7.56698417663574,"govtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-1568.31042480469,"xtax"
"ExB14","ROW","TOTAL","CNTalleffr","CNTalleffr","CNTalleffr","CNTalleffr",-1796.14562988281,"mtax"
"ExB14","SSA","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"Land"
"ExB14","EU","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"Land"
"ExB14","ROW","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"Land"
"ExB14","SSA","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",7.94066454545828e-06,"UnskLab"
"ExB14","EU","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",-0.000431942462455481,"UnskLab"
"ExB14","ROW","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0.000584511901251972,"UnskLab"
"ExB14","SSA","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",-1.15866123451269e-06,"SkLab"
"ExB14","EU","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",-5.70427509956062e-05,"SkLab"
"ExB14","ROW","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",-0.000233849845244549,"SkLab"
"ExB14","SSA","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",3.58054203388747e-05,"Capital"
"ExB14","EU","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0.00117734808009118,"Capital"
"ExB14","ROW","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0.000253447273280472,"Capital"
"ExB14","SSA","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"NatRes"
"ExB14","EU","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"NatRes"
"ExB14","ROW","TOTAL","CNTendw","CNTendw","CNTendw","CNTendw",0,"NatRes"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"Land"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"Land"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"Land"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-5.10558093083091e-05,"UnskLab"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",1.61687694344437e-05,"UnskLab"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000226844727876596,"UnskLab"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",5.8086407079827e-06,"SkLab"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000328664347762242,"SkLab"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0.000133589317556471,"SkLab"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",2.72111938102171e-05,"Capital"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",-0.000123066391097382,"Capital"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0.000294422294246033,"Capital"
"ExB14","SSA","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","EU","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","ROW","TOTAL","CNTqe","CNTqe","CNTqe","CNTqe",0,"NatRes"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Land"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"UnskLab"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"SkLab"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"Capital"
"ExB14","SSA","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","EU","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","ROW","TOTAL","CNTqfeer","CNTqfeer","CNTqfeer","CNTqfeer",0,"NatRes"
"ExB14","SSA","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",-44.0350151062012,"domestic"
"ExB14","SSA","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",12.9725856781006,"imported"
"ExB14","EU","TOTAL","CNTqfr","CNTqfr","CNTqfr","CNTqfr",24.3802356719971,"domestic"
