"Experiment","Sector","Type","Variable","GTAPVar","Description","Unit","Value","Region"
"ExB14","Food","TOTAL","aint","aint","aint","aint",0,"SSA"
"ExB14","Food","TOTAL","aint","aint","aint","aint",0,"EU"
"ExB14","Food","TOTAL","aint","aint","aint","aint",0,"ROW"
"ExB14","Mnfcs","TOTAL","aint","aint","aint","aint",0,"SSA"
"ExB14","Mnfcs","TOTAL","aint","aint","aint","aint",0,"EU"
"ExB14","Mnfcs","TOTAL","aint","aint","aint","aint",0,"ROW"
"ExB14","Svces","TOTAL","aint","aint","aint","aint",0,"SSA"
"ExB14","Svces","TOTAL","aint","aint","aint","aint",0,"EU"
"ExB14","Svces","TOTAL","aint","aint","aint","aint",0,"ROW"
"ExB14","Food","TOTAL","aintall","aintall","aintall","aintall",0,"SSA"
"ExB14","Food","TOTAL","aintall","aintall","aintall","aintall",0,"EU"
"ExB14","Food","TOTAL","aintall","aintall","aintall","aintall",0,"ROW"
"ExB14","Mnfcs","TOTAL","aintall","aintall","aintall","aintall",0,"SSA"
"ExB14","Mnfcs","TOTAL","aintall","aintall","aintall","aintall",0,"EU"
"ExB14","Mnfcs","TOTAL","aintall","aintall","aintall","aintall",0,"ROW"
"ExB14","Svces","TOTAL","aintall","aintall","aintall","aintall",0,"SSA"
"ExB14","Svces","TOTAL","aintall","aintall","aintall","aintall",0,"EU"
"ExB14","Svces","TOTAL","aintall","aintall","aintall","aintall",0,"ROW"
"ExB14","Food","TOTAL","ao","ao","ao","ao",0,"SSA"
"ExB14","Food","TOTAL","ao","ao","ao","ao",0,"EU"
"ExB14","Food","TOTAL","ao","ao","ao","ao",0,"ROW"
"ExB14","Mnfcs","TOTAL","ao","ao","ao","ao",0,"SSA"
"ExB14","Mnfcs","TOTAL","ao","ao","ao","ao",0,"EU"
"ExB14","Mnfcs","TOTAL","ao","ao","ao","ao",0,"ROW"
"ExB14","Svces","TOTAL","ao","ao","ao","ao",0,"SSA"
"ExB14","Svces","TOTAL","ao","ao","ao","ao",0,"EU"
"ExB14","Svces","TOTAL","ao","ao","ao","ao",0,"ROW"
"ExB14","Food","TOTAL","aoall","aoall","aoall","aoall",0,"SSA"
"ExB14","Food","TOTAL","aoall","aoall","aoall","aoall",0,"EU"
"ExB14","Food","TOTAL","aoall","aoall","aoall","aoall",0,"ROW"
"ExB14","Mnfcs","TOTAL","aoall","aoall","aoall","aoall",0,"SSA"
"ExB14","Mnfcs","TOTAL","aoall","aoall","aoall","aoall",0,"EU"
"ExB14","Mnfcs","TOTAL","aoall","aoall","aoall","aoall",0,"ROW"
"ExB14","Svces","TOTAL","aoall","aoall","aoall","aoall",0,"SSA"
"ExB14","Svces","TOTAL","aoall","aoall","aoall","aoall",0,"EU"
"ExB14","Svces","TOTAL","aoall","aoall","aoall","aoall",0,"ROW"
"ExB14","Food","TOTAL","ava","ava","ava","ava",0,"SSA"
"ExB14","Food","TOTAL","ava","ava","ava","ava",0,"EU"
"ExB14","Food","TOTAL","ava","ava","ava","ava",0,"ROW"
"ExB14","Mnfcs","TOTAL","ava","ava","ava","ava",0,"SSA"
"ExB14","Mnfcs","TOTAL","ava","ava","ava","ava",0,"EU"
"ExB14","Mnfcs","TOTAL","ava","ava","ava","ava",0,"ROW"
"ExB14","Svces","TOTAL","ava","ava","ava","ava",0,"SSA"
"ExB14","Svces","TOTAL","ava","ava","ava","ava",0,"EU"
"ExB14","Svces","TOTAL","ava","ava","ava","ava",0,"ROW"
"ExB14","Food","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.225338146090508,"SSA"
"ExB14","Food","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",-0.0328072048723698,"EU"
"ExB14","Food","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.0162478219717741,"ROW"
"ExB14","Mnfcs","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.00733894761651754,"SSA"
"ExB14","Mnfcs","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",-0.00202534790150821,"EU"
"ExB14","Mnfcs","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.00108725682366639,"ROW"
"ExB14","Svces","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.0151060475036502,"SSA"
"ExB14","Svces","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",-0.00101148465182632,"EU"
"ExB14","Svces","TOTAL","c1_cr","c1_cr","c1_cr","c1_cr",0.000395566807128489,"ROW"
"ExB14","Food","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.0560589842498302,"SSA"
"ExB14","Food","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.12837378680706,"EU"
"ExB14","Food","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",-0.0910593196749687,"ROW"
"ExB14","Mnfcs","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.655236899852753,"SSA"
"ExB14","Mnfcs","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",-0.425554007291794,"EU"
"ExB14","Mnfcs","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.28322097659111,"ROW"
"ExB14","Svces","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.274022221565247,"SSA"
"ExB14","Svces","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",-0.150995016098022,"EU"
"ExB14","Svces","TOTAL","c2_cr","c2_cr","c2_cr","c2_cr",0.0992602333426476,"ROW"
"ExB14","Food","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.60422956943512,"SSA"
"ExB14","Food","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.212403774261475,"EU"
"ExB14","Food","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.128472819924355,"ROW"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.0389462299644947,"SSA"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.166527464985847,"EU"
"ExB14","Mnfcs","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.113229617476463,"ROW"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.00229863938875496,"SSA"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",-0.0234874784946442,"EU"
"ExB14","Svces","TOTAL","c3_cr","c3_cr","c3_cr","c3_cr",0.0158725753426552,"ROW"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",262.364532470703,"SSA"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",6084.359375,"EU"
"ExB14","Food","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-4423.3916015625,"ROW"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-134.135620117188,"SSA"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-751.8583984375,"EU"
"ExB14","Mnfcs","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",577.35107421875,"ROW"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-4.78277444839478,"SSA"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",188.912384033203,"EU"
"ExB14","Svces","TOTAL","CNTalleffcr","CNTalleffcr","CNTalleffcr","CNTalleffcr",-316.492523193359,"ROW"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.00619113631546497,"SSA"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",-12.6322231292725,"EU"
"ExB14","Food","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",-0.738920271396637,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.107121907174587,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",7.06133222579956,"EU"
"ExB14","Mnfcs","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.190945476293564,"ROW"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",0.818834364414215,"SSA"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",20.6862010955811,"EU"
"ExB14","Svces","TOTAL","CNTqgd","CNTqgd","CNTqgd","CNTqgd",2.75736427307129,"ROW"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-0.0128499567508698,"SSA"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",20.5717811584473,"EU"
"ExB14","Food","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-1.15579473972321,"ROW"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",0.274615913629532,"SSA"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-8.62226486206055,"EU"
"ExB14","Mnfcs","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",4.60260725021362,"ROW"
"ExB14","Svces","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",0.974126994609833,"SSA"
"ExB14","Svces","TOTAL","CNTqgm","CNTqgm","CNTqgm","CNTqgm",-1.13747501373291,"EU"
