"Experiment","Sector","Source","Destination","Type","Variable","GTAPVar","Description","Unit","Value"
"ExB15","Food","SSA","SSA","Total","qxs","qxs","qxs","qxs","17.5564498901367"
"ExB15","Food","EU","SSA","Total","qxs","qxs","qxs","qxs","-55.0639953613281"
"ExB15","Food","ROW","SSA","Total","qxs","qxs","qxs","qxs","24.983642578125"
"ExB15","Food","SSA","EU","Total","qxs","qxs","qxs","qxs","36.1910247802734"
"ExB15","Food","EU","EU","Total","qxs","qxs","qxs","qxs","-14.0166463851929"
"ExB15","Food","ROW","EU","Total","qxs","qxs","qxs","qxs","56.8953323364258"
"ExB15","Food","SSA","ROW","Total","qxs","qxs","qxs","qxs","1.91165935993195"
"ExB15","Food","EU","ROW","Total","qxs","qxs","qxs","qxs","-48.4974403381348"
"ExB15","Food","ROW","ROW","Total","qxs","qxs","qxs","qxs","8.09817028045654"
"ExB15","Food","SSA","SSA","to changes","qxs","qxs","qxs","qxs","0.948026239871979"
"ExB15","Food","EU","SSA","to changes","qxs","qxs","qxs","qxs","-2.93255209922791"
"ExB15","Food","ROW","SSA","to changes","qxs","qxs","qxs","qxs","1.66946184635162"
"ExB15","Food","SSA","EU","to changes","qxs","qxs","qxs","qxs","4.13288402557373"
"ExB15","Food","EU","EU","to changes","qxs","qxs","qxs","qxs","-1.74618268013"
"ExB15","Food","ROW","EU","to changes","qxs","qxs","qxs","qxs","5.21198844909668"
"ExB15","Food","SSA","ROW","to changes","qxs","qxs","qxs","qxs","0.0297485124319792"
"ExB15","Food","EU","ROW","to changes","qxs","qxs","qxs","qxs","-3.79140973091125"
"ExB15","Food","ROW","ROW","to changes","qxs","qxs","qxs","qxs","0.645080208778381"
"ExB15","Food","SSA","SSA","txs changes","qxs","qxs","qxs","qxs","18.6827926635742"
"ExB15","Food","EU","SSA","txs changes","qxs","qxs","qxs","qxs","-58.5238304138184"
"ExB15","Food","ROW","SSA","txs changes","qxs","qxs","qxs","qxs","19.9505615234375"
"ExB15","Food","SSA","EU","txs changes","qxs","qxs","qxs","qxs","-5.77190113067627"
"ExB15","Food","EU","EU","txs changes","qxs","qxs","qxs","qxs","-0.444245129823685"
"ExB15","Food","ROW","EU","txs changes","qxs","qxs","qxs","qxs","-5.32173919677734"
"ExB15","Food","SSA","ROW","txs changes","qxs","qxs","qxs","qxs","6.72465372085571"
"ExB15","Food","EU","ROW","txs changes","qxs","qxs","qxs","qxs","-49.399730682373"
"ExB15","Food","ROW","ROW","txs changes","qxs","qxs","qxs","qxs","7.5404748916626"
"ExB15","Food","SSA","SSA","tms changes","qxs","qxs","qxs","qxs","-2.07436537742615"
"ExB15","Food","EU","SSA","tms changes","qxs","qxs","qxs","qxs","6.39238739013672"
"ExB15","Food","ROW","SSA","tms changes","qxs","qxs","qxs","qxs","3.36361765861511"
"ExB15","Food","SSA","EU","tms changes","qxs","qxs","qxs","qxs","37.8300399780273"
"ExB15","Food","EU","EU","tms changes","qxs","qxs","qxs","qxs","-11.8262195587158"
"ExB15","Food","ROW","EU","tms changes","qxs","qxs","qxs","qxs","57.0050735473633"
"ExB15","Food","SSA","ROW","tms changes","qxs","qxs","qxs","qxs","-4.84274196624756"
"ExB15","Food","EU","ROW","tms changes","qxs","qxs","qxs","qxs","4.69369983673096"
"ExB15","Food","ROW","ROW","tms changes","qxs","qxs","qxs","qxs","-0.0873848497867584"
"ExB15","Mnfcs","SSA","SSA","Total","qxs","qxs","qxs","qxs","-4.33524990081787"
"ExB15","Mnfcs","EU","SSA","Total","qxs","qxs","qxs","qxs","5.05134534835815"
"ExB15","Mnfcs","ROW","SSA","Total","qxs","qxs","qxs","qxs","-0.805955231189728"
"ExB15","Mnfcs","SSA","EU","Total","qxs","qxs","qxs","qxs","-7.1511058807373"
"ExB15","Mnfcs","EU","EU","Total","qxs","qxs","qxs","qxs","1.93979966640472"
"ExB15","Mnfcs","ROW","EU","Total","qxs","qxs","qxs","qxs","-3.77721047401428"
"ExB15","Mnfcs","SSA","ROW","Total","qxs","qxs","qxs","qxs","-4.45145177841187"
"ExB15","Mnfcs","EU","ROW","Total","qxs","qxs","qxs","qxs","4.89246511459351"
"ExB15","Mnfcs","ROW","ROW","Total","qxs","qxs","qxs","qxs","-0.957464516162872"
"ExB15","Mnfcs","SSA","SSA","to changes","qxs","qxs","qxs","qxs","-0.430755823850632"
"ExB15","Mnfcs","EU","SSA","to changes","qxs","qxs","qxs","qxs","0.501507103443146"
"ExB15","Mnfcs","ROW","SSA","to changes","qxs","qxs","qxs","qxs","-0.067712277173996"
"ExB15","Mnfcs","SSA","EU","to changes","qxs","qxs","qxs","qxs","-0.699399411678314"
"ExB15","Mnfcs","EU","EU","to changes","qxs","qxs","qxs","qxs","0.204152479767799"
"ExB15","Mnfcs","ROW","EU","to changes","qxs","qxs","qxs","qxs","-0.351777106523514"
"ExB15","Mnfcs","SSA","ROW","to changes","qxs","qxs","qxs","qxs","-0.449649333953857"
"ExB15","Mnfcs","EU","ROW","to changes","qxs","qxs","qxs","qxs","0.478067576885223"
"ExB15","Mnfcs","ROW","ROW","to changes","qxs","qxs","qxs","qxs","-0.0902552679181099"
"ExB15","Mnfcs","SSA","SSA","txs changes","qxs","qxs","qxs","qxs","-0.875736355781555"
"ExB15","Mnfcs","EU","SSA","txs changes","qxs","qxs","qxs","qxs","1.38432013988495"
"ExB15","Mnfcs","ROW","SSA","txs changes","qxs","qxs","qxs","qxs","-0.659160912036896"
"ExB15","Mnfcs","SSA","EU","txs changes","qxs","qxs","qxs","qxs","-1.51358556747437"
"ExB15","Mnfcs","EU","EU","txs changes","qxs","qxs","qxs","qxs","0.693137347698212"
"ExB15","Mnfcs","ROW","EU","txs changes","qxs","qxs","qxs","qxs","-1.31762719154358"
"ExB15","Mnfcs","SSA","ROW","txs changes","qxs","qxs","qxs","qxs","-0.566864490509033"
"ExB15","Mnfcs","EU","ROW","txs changes","qxs","qxs","qxs","qxs","1.70048129558563"
"ExB15","Mnfcs","ROW","ROW","txs changes","qxs","qxs","qxs","qxs","-0.350341230630875"
"ExB15","Mnfcs","SSA","SSA","tms changes","qxs","qxs","qxs","qxs","-3.02886533737183"
"ExB15","Mnfcs","EU","SSA","tms changes","qxs","qxs","qxs","qxs","3.16551828384399"
"ExB15","Mnfcs","ROW","SSA","tms changes","qxs","qxs","qxs","qxs","-0.0790824964642525"
"ExB15","Mnfcs","SSA","EU","tms changes","qxs","qxs","qxs","qxs","-4.93850517272949"
"ExB15","Mnfcs","EU","EU","tms changes","qxs","qxs","qxs","qxs","1.04251003265381"
"ExB15","Mnfcs","ROW","EU","tms changes","qxs","qxs","qxs","qxs","-2.10780668258667"
"ExB15","Mnfcs","SSA","ROW","tms changes","qxs","qxs","qxs","qxs","-3.43493723869324"
"ExB15","Mnfcs","EU","ROW","tms changes","qxs","qxs","qxs","qxs","2.71391725540161"
"ExB15","Mnfcs","ROW","ROW","tms changes","qxs","qxs","qxs","qxs","-0.516868054866791"
"ExB15","Svces","SSA","SSA","Total","qxs","qxs","qxs","qxs","-3.09062027931213"
"ExB15","Svces","EU","SSA","Total","qxs","qxs","qxs","qxs","5.24429512023926"
"ExB15","Svces","ROW","SSA","Total","qxs","qxs","qxs","qxs","0.767703235149384"
"ExB15","Svces","SSA","EU","Total","qxs","qxs","qxs","qxs","-6.86879348754883"
"ExB15","Svces","EU","EU","Total","qxs","qxs","qxs","qxs","1.14117097854614"
"ExB15","Svces","ROW","EU","Total","qxs","qxs","qxs","qxs","-3.160893201828"
"ExB15","Svces","SSA","ROW","Total","qxs","qxs","qxs","qxs","-4.55094766616821"
"ExB15","Svces","EU","ROW","Total","qxs","qxs","qxs","qxs","3.65836882591248"
"ExB15","Svces","ROW","ROW","Total","qxs","qxs","qxs","qxs","-0.750765144824982"
"ExB15","Svces","SSA","SSA","to changes","qxs","qxs","qxs","qxs","-0.30163162946701"
"ExB15","Svces","EU","SSA","to changes","qxs","qxs","qxs","qxs","0.510856986045837"
"ExB15","Svces","ROW","SSA","to changes","qxs","qxs","qxs","qxs","0.0941938832402229"
"ExB15","Svces","SSA","EU","to changes","qxs","qxs","qxs","qxs","-0.6539067029953"
"ExB15","Svces","EU","EU","to changes","qxs","qxs","qxs","qxs","0.127645716071129"
"ExB15","Svces","ROW","EU","to changes","qxs","qxs","qxs","qxs","-0.272791385650635"
"ExB15","Svces","SSA","ROW","to changes","qxs","qxs","qxs","qxs","-0.458689242601395"
"ExB15","Svces","EU","ROW","to changes","qxs","qxs","qxs","qxs","0.340979427099228"
"ExB15","Svces","ROW","ROW","to changes","qxs","qxs","qxs","qxs","-0.0689462572336197"
"ExB15","Svces","SSA","SSA","txs changes","qxs","qxs","qxs","qxs","-0.647825837135315"
"ExB15","Svces","EU","SSA","txs changes","qxs","qxs","qxs","qxs","1.24722242355347"
"ExB15","Svces","ROW","SSA","txs changes","qxs","qxs","qxs","qxs","-0.309876650571823"
"ExB15","Svces","SSA","EU","txs changes","qxs","qxs","qxs","qxs","-1.40325963497162"
"ExB15","Svces","EU","EU","txs changes","qxs","qxs","qxs","qxs","0.431843817234039"
"ExB15","Svces","ROW","EU","txs changes","qxs","qxs","qxs","qxs","-1.08327507972717"
"ExB15","Svces","SSA","ROW","txs changes","qxs","qxs","qxs","qxs","-0.620737135410309"
"ExB15","Svces","EU","ROW","txs changes","qxs","qxs","qxs","qxs","1.26312983036041"
"ExB15","Svces","ROW","ROW","txs changes","qxs","qxs","qxs","qxs","-0.284372687339783"
"ExB15","Svces","SSA","SSA","tms changes","qxs","qxs","qxs","qxs","-2.14123582839966"
"ExB15","Svces","EU","SSA","tms changes","qxs","qxs","qxs","qxs","3.48621606826782"
"ExB15","Svces","ROW","SSA","tms changes","qxs","qxs","qxs","qxs","0.983385622501373"
"ExB15","Svces","SSA","EU","tms changes","qxs","qxs","qxs","qxs","-4.81209707260132"
"ExB15","Svces","EU","EU","tms changes","qxs","qxs","qxs","qxs","0.581681668758392"
"ExB15","Svces","ROW","EU","tms changes","qxs","qxs","qxs","qxs","-1.80482721328735"
