"Experiment","Sector","Source","Destination","Type","Variable","GTAPVar","Description","Unit","Value"
"ExB15","Food","SSA","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Food","EU","SSA","Total","txs","txs","txs","txs","28.5956001281738"
"ExB15","Food","ROW","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Food","SSA","EU","Total","txs","txs","txs","txs","0"
"ExB15","Food","EU","EU","Total","txs","txs","txs","txs","0"
"ExB15","Food","ROW","EU","Total","txs","txs","txs","txs","0"
"ExB15","Food","SSA","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Food","EU","ROW","Total","txs","txs","txs","txs","20.2080993652344"
"ExB15","Food","ROW","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Food","SSA","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","SSA","txs changes","txs","txs","txs","txs","28.5956001281738"
"ExB15","Food","ROW","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","ROW","txs changes","txs","txs","txs","txs","20.2080993652344"
"ExB15","Food","ROW","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","SSA","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","EU","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Food","ROW","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","EU","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","EU","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","EU","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","SSA","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","EU","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Mnfcs","ROW","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Svces","EU","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","SSA","Total","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","EU","Total","txs","txs","txs","txs","0"
"ExB15","Svces","EU","EU","Total","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","EU","Total","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Svces","EU","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","ROW","Total","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","SSA","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","EU","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","ROW","to changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","SSA","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","EU","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","ROW","txs changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","SSA","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","EU","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","SSA","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","EU","ROW","tms changes","txs","txs","txs","txs","0"
"ExB15","Svces","ROW","ROW","tms changes","txs","txs","txs","txs","0"
