Experiment	Dim1	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	Land	afecom	afecom	afecom	afecom	0	TOTAL
ExB14	UnskLab	afecom	afecom	afecom	afecom	0	TOTAL
ExB14	SkLab	afecom	afecom	afecom	afecom	0	TOTAL
ExB14	Capital	afecom	afecom	afecom	afecom	0	TOTAL
ExB14	NatRes	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	Land	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	Land	afecom	afecom	afecom	afecom	0	to changes
ExB15	Land	afecom	afecom	afecom	afecom	0	txs changes
ExB15	Land	afecom	afecom	afecom	afecom	0	tms changes
ExB15	UnskLab	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	UnskLab	afecom	afecom	afecom	afecom	0	to changes
ExB15	UnskLab	afecom	afecom	afecom	afecom	0	txs changes
ExB15	UnskLab	afecom	afecom	afecom	afecom	0	tms changes
ExB15	SkLab	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	SkLab	afecom	afecom	afecom	afecom	0	to changes
ExB15	SkLab	afecom	afecom	afecom	afecom	0	txs changes
ExB15	SkLab	afecom	afecom	afecom	afecom	0	tms changes
ExB15	Capital	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	Capital	afecom	afecom	afecom	afecom	0	to changes
ExB15	Capital	afecom	afecom	afecom	afecom	0	txs changes
ExB15	Capital	afecom	afecom	afecom	afecom	0	tms changes
ExB15	NatRes	afecom	afecom	afecom	afecom	0	TOTAL
ExB15	NatRes	afecom	afecom	afecom	afecom	0	to changes
ExB15	NatRes	afecom	afecom	afecom	afecom	0	txs changes
ExB15	NatRes	afecom	afecom	afecom	afecom	0	tms changes
