Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	SSA	afereg	afereg	afereg	afereg	0	TOTAL
ExB14	EU	afereg	afereg	afereg	afereg	0	TOTAL
ExB14	ROW	afereg	afereg	afereg	afereg	0	TOTAL
ExB14	SSA	afreg	afreg	afreg	afreg	0	TOTAL
ExB14	EU	afreg	afreg	afreg	afreg	0	TOTAL
ExB14	ROW	afreg	afreg	afreg	afreg	0	TOTAL
ExB14	SSA	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB14	EU	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB14	ROW	aintreg	aintreg	aintreg	aintreg	0	TOTAL
ExB14	SSA	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB14	EU	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB14	ROW	aoreg	aoreg	aoreg	aoreg	0	TOTAL
ExB14	SSA	atd	atd	atd	atd	0	TOTAL
ExB14	EU	atd	atd	atd	atd	0	TOTAL
ExB14	ROW	atd	atd	atd	atd	0	TOTAL
ExB14	SSA	ats	ats	ats	ats	0	TOTAL
ExB14	EU	ats	ats	ats	ats	0	TOTAL
ExB14	ROW	ats	ats	ats	ats	0	TOTAL
ExB14	SSA	au	au	au	au	0	TOTAL
ExB14	EU	au	au	au	au	0	TOTAL
ExB14	ROW	au	au	au	au	0	TOTAL
ExB14	SSA	avareg	avareg	avareg	avareg	0	TOTAL
ExB14	EU	avareg	avareg	avareg	avareg	0	TOTAL
ExB14	ROW	avareg	avareg	avareg	avareg	0	TOTAL
ExB14	SSA	c1_r	c1_r	c1_r	c1_r	0.247834861278534	TOTAL
ExB14	EU	c1_r	c1_r	c1_r	c1_r	-0.0358430184423923	TOTAL
ExB14	ROW	c1_r	c1_r	c1_r	c1_r	0.0177308917045593	TOTAL
ExB14	SSA	c2_r	c2_r	c2_r	c2_r	0.987665832042694	TOTAL
ExB14	EU	c2_r	c2_r	c2_r	c2_r	-0.44827201962471	TOTAL
ExB14	ROW	c2_r	c2_r	c2_r	c2_r	0.291354477405548	TOTAL
ExB14	SSA	c3_r	c3_r	c3_r	c3_r	0.562736451625824	TOTAL
ExB14	EU	c3_r	c3_r	c3_r	c3_r	-0.401976108551025	TOTAL
ExB14	ROW	c3_r	c3_r	c3_r	c3_r	0.257758885622025	TOTAL
ExB14	SSA	cgdslack	cgdslack	cgdslack	cgdslack	0	TOTAL
ExB14	EU	cgdslack	cgdslack	cgdslack	cgdslack	0	TOTAL
ExB14	ROW	cgdslack	cgdslack	cgdslack	cgdslack	0	TOTAL
ExB14	SSA	CNTdpar	CNTdpar	CNTdpar	CNTdpar	0	TOTAL
ExB14	EU	CNTdpar	CNTdpar	CNTdpar	CNTdpar	0	TOTAL
ExB14	ROW	CNTdpar	CNTdpar	CNTdpar	CNTdpar	0	TOTAL
ExB14	SSA	CNTendwr	CNTendwr	CNTendwr	CNTendwr	3.97962867282331e-05	TOTAL
ExB14	EU	CNTendwr	CNTendwr	CNTendwr	CNTendwr	0.00123059959150851	TOTAL
ExB14	ROW	CNTendwr	CNTendwr	CNTendwr	CNTendwr	0.000145026948302984	TOTAL
ExB14	SSA	CNTkb	CNTkb	CNTkb	CNTkb	0	TOTAL
ExB14	EU	CNTkb	CNTkb	CNTkb	CNTkb	0	TOTAL
ExB14	ROW	CNTkb	CNTkb	CNTkb	CNTkb	0	TOTAL
ExB14	SSA	CNTpinv	CNTpinv	CNTpinv	CNTpinv	34.8875541687012	TOTAL
ExB14	EU	CNTpinv	CNTpinv	CNTpinv	CNTpinv	311.408203125	TOTAL
ExB14	ROW	CNTpinv	CNTpinv	CNTpinv	CNTpinv	-344.759490966797	TOTAL
ExB14	SSA	CNTpop	CNTpop	CNTpop	CNTpop	0	TOTAL
ExB14	EU	CNTpop	CNTpop	CNTpop	CNTpop	0	TOTAL
ExB14	ROW	CNTpop	CNTpop	CNTpop	CNTpop	0	TOTAL
ExB14	SSA	CNTqfer	CNTqfer	CNTqfer	CNTqfer	0	TOTAL
ExB14	EU	CNTqfer	CNTqfer	CNTqfer	CNTqfer	0	TOTAL
ExB14	ROW	CNTqfer	CNTqfer	CNTqfer	CNTqfer	0	TOTAL
ExB14	SSA	CNTqmsr	CNTqmsr	CNTqmsr	CNTqmsr	65.5063629150391	TOTAL
ExB14	EU	CNTqmsr	CNTqmsr	CNTqmsr	CNTqmsr	1787.63720703125	TOTAL
ExB14	ROW	CNTqmsr	CNTqmsr	CNTqmsr	CNTqmsr	-1796.14562988281	TOTAL
ExB14	SSA	CNTqor	CNTqor	CNTqor	CNTqor	-154.855880737305	TOTAL
ExB14	EU	CNTqor	CNTqor	CNTqor	CNTqor	2623.00048828125	TOTAL
ExB14	ROW	CNTqor	CNTqor	CNTqor	CNTqor	-37.3079948425293	TOTAL
ExB14	SSA	CNTqxsr	CNTqxsr	CNTqxsr	CNTqxsr	98.1474838256836	TOTAL
ExB14	EU	CNTqxsr	CNTqxsr	CNTqxsr	CNTqxsr	3423.16748046875	TOTAL
ExB14	ROW	CNTqxsr	CNTqxsr	CNTqxsr	CNTqxsr	-1568.31042480469	TOTAL
ExB14	SSA	CNTtotr	CNTtotr	CNTtotr	CNTtotr	521.233093261719	TOTAL
ExB14	EU	CNTtotr	CNTtotr	CNTtotr	CNTtotr	-2201.04174804688	TOTAL
ExB14	ROW	CNTtotr	CNTtotr	CNTtotr	CNTtotr	1657.68347167969	TOTAL
ExB14	SSA	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	-0.000804155948571861	TOTAL
ExB14	EU	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	0.00224015163257718	TOTAL
ExB14	ROW	del_indtaxr	del_indtaxr	del_indtaxr	del_indtaxr	-0.00015396493836306	TOTAL
ExB14	SSA	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	0.000317604455631226	TOTAL
ExB14	EU	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	0.00164733652491122	TOTAL
ExB14	ROW	del_taxrexp	del_taxrexp	del_taxrexp	del_taxrexp	-9.23879124457017e-05	TOTAL
