Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	Food	afcom	afcom	afcom	afcom	0	TOTAL
ExB14	Mnfcs	afcom	afcom	afcom	afcom	0	TOTAL
ExB14	Svces	afcom	afcom	afcom	afcom	0	TOTAL
ExB14	Food	afesec	afesec	afesec	afesec	0	TOTAL
ExB14	Mnfcs	afesec	afesec	afesec	afesec	0	TOTAL
ExB14	Svces	afesec	afesec	afesec	afesec	0	TOTAL
ExB14	Food	afsec	afsec	afsec	afsec	0	TOTAL
ExB14	Mnfcs	afsec	afsec	afsec	afsec	0	TOTAL
ExB14	Svces	afsec	afsec	afsec	afsec	0	TOTAL
ExB14	Food	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB14	Mnfcs	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB14	Svces	aintsec	aintsec	aintsec	aintsec	0	TOTAL
ExB14	Food	aosec	aosec	aosec	aosec	0	TOTAL
ExB14	Mnfcs	aosec	aosec	aosec	aosec	0	TOTAL
ExB14	Svces	aosec	aosec	aosec	aosec	0	TOTAL
ExB14	Food	atf	atf	atf	atf	0	TOTAL
ExB14	Mnfcs	atf	atf	atf	atf	0	TOTAL
ExB14	Svces	atf	atf	atf	atf	0	TOTAL
ExB14	Food	atm	atm	atm	atm	0	TOTAL
ExB14	Mnfcs	atm	atm	atm	atm	0	TOTAL
ExB14	Svces	atm	atm	atm	atm	0	TOTAL
ExB14	Food	avasec	avasec	avasec	avasec	0	TOTAL
ExB14	Mnfcs	avasec	avasec	avasec	avasec	0	TOTAL
ExB14	Svces	avasec	avasec	avasec	avasec	0	TOTAL
ExB14	Food	pmwcom	pmwcom	pmwcom	pmwcom	1.98636054992676	TOTAL
ExB14	Mnfcs	pmwcom	pmwcom	pmwcom	pmwcom	-0.130606845021248	TOTAL
ExB14	Svces	pmwcom	pmwcom	pmwcom	pmwcom	-0.186991199851036	TOTAL
ExB14	Food	pw	pw	pw	pw	1.62687242031097	TOTAL
ExB14	Mnfcs	pw	pw	pw	pw	-0.0110715925693512	TOTAL
ExB14	Svces	pw	pw	pw	pw	-0.0530196577310562	TOTAL
ExB14	Food	pwu	pwu	pwu	pwu	0.650450468063354	TOTAL
ExB14	Mnfcs	pwu	pwu	pwu	pwu	-0.0104607744142413	TOTAL
ExB14	Svces	pwu	pwu	pwu	pwu	-0.0631610751152039	TOTAL
ExB14	Food	pxwcom	pxwcom	pxwcom	pxwcom	2.19760489463806	TOTAL
ExB14	Mnfcs	pxwcom	pxwcom	pxwcom	pxwcom	-0.130090817809105	TOTAL
ExB14	Svces	pxwcom	pxwcom	pxwcom	pxwcom	-0.175032377243042	TOTAL
ExB14	Food	qmwcom	qmwcom	qmwcom	qmwcom	-0.785325229167938	TOTAL
ExB14	Mnfcs	qmwcom	qmwcom	qmwcom	qmwcom	0.161250486969948	TOTAL
ExB14	Svces	qmwcom	qmwcom	qmwcom	qmwcom	0.0888698846101761	TOTAL
ExB14	Food	qow	qow	qow	qow	-0.417629212141037	TOTAL
ExB14	Mnfcs	qow	qow	qow	qow	-0.0123516228049994	TOTAL
ExB14	Svces	qow	qow	qow	qow	0.0264912452548742	TOTAL
ExB14	Food	qowu	qowu	qowu	qowu	-0.322304993867874	TOTAL
ExB14	Mnfcs	qowu	qowu	qowu	qowu	-0.0124232014641166	TOTAL
ExB14	Svces	qowu	qowu	qowu	qowu	0.020261786878109	TOTAL
ExB14	Food	qxwcom	qxwcom	qxwcom	qxwcom	-1.43915045261383	TOTAL
ExB14	Mnfcs	qxwcom	qxwcom	qxwcom	qxwcom	0.171621590852737	TOTAL
ExB14	Svces	qxwcom	qxwcom	qxwcom	qxwcom	0.295169293880463	TOTAL
ExB14	Food	valuew	valuew	valuew	valuew	1.20244920253754	TOTAL
ExB14	Mnfcs	valuew	valuew	valuew	valuew	-0.0234218500554562	TOTAL
ExB14	Svces	valuew	valuew	valuew	valuew	-0.0265414975583553	TOTAL
ExB14	Food	valuewu	valuewu	valuewu	valuewu	0.324676603078842	TOTAL
ExB14	Mnfcs	valuewu	valuewu	valuewu	valuewu	-0.0247855745255947	TOTAL
ExB14	Svces	valuewu	valuewu	valuewu	valuewu	-0.0487792603671551	TOTAL
ExB14	Food	vmwcom	vmwcom	vmwcom	vmwcom	1.1854362487793	TOTAL
ExB14	Mnfcs	vmwcom	vmwcom	vmwcom	vmwcom	0.0304220970720053	TOTAL
ExB14	Svces	vmwcom	vmwcom	vmwcom	vmwcom	-0.0982875227928162	TOTAL
ExB14	Food	vxwcom	vxwcom	vxwcom	vxwcom	0.726828277111053	TOTAL
ExB14	Mnfcs	vxwcom	vxwcom	vxwcom	vxwcom	0.0412900820374489	TOTAL
ExB14	Svces	vxwcom	vxwcom	vxwcom	vxwcom	0.119620285928249	TOTAL
ExB15	Food	afcom	afcom	afcom	afcom	0	TOTAL
ExB15	Food	afcom	afcom	afcom	afcom	0	to changes
ExB15	Food	afcom	afcom	afcom	afcom	0	txs changes
