Experiment	Sector	Destination	Type	Variable	GTAPVar	Description	Unit	Value
ExB15	Food	SSA	Total	to	to	to	to	0
ExB15	Mnfcs	SSA	Total	to	to	to	to	0
ExB15	Svces	SSA	Total	to	to	to	to	0
ExB15	Food	EU	Total	to	to	to	to	1.06190001964569
ExB15	Mnfcs	EU	Total	to	to	to	to	0
ExB15	Svces	EU	Total	to	to	to	to	0
ExB15	Food	ROW	Total	to	to	to	to	0
ExB15	Mnfcs	ROW	Total	to	to	to	to	0
ExB15	Svces	ROW	Total	to	to	to	to	0
ExB15	Food	SSA	to changes	to	to	to	to	0
ExB15	Mnfcs	SSA	to changes	to	to	to	to	0
ExB15	Svces	SSA	to changes	to	to	to	to	0
ExB15	Food	EU	to changes	to	to	to	to	1.06190001964569
ExB15	Mnfcs	EU	to changes	to	to	to	to	0
ExB15	Svces	EU	to changes	to	to	to	to	0
ExB15	Food	ROW	to changes	to	to	to	to	0
ExB15	Mnfcs	ROW	to changes	to	to	to	to	0
ExB15	Svces	ROW	to changes	to	to	to	to	0
ExB15	Food	SSA	txs changes	to	to	to	to	0
ExB15	Mnfcs	SSA	txs changes	to	to	to	to	0
ExB15	Svces	SSA	txs changes	to	to	to	to	0
ExB15	Food	EU	txs changes	to	to	to	to	0
ExB15	Mnfcs	EU	txs changes	to	to	to	to	0
ExB15	Svces	EU	txs changes	to	to	to	to	0
ExB15	Food	ROW	txs changes	to	to	to	to	0
ExB15	Mnfcs	ROW	txs changes	to	to	to	to	0
ExB15	Svces	ROW	txs changes	to	to	to	to	0
ExB15	Food	SSA	tms changes	to	to	to	to	0
ExB15	Mnfcs	SSA	tms changes	to	to	to	to	0
ExB15	Svces	SSA	tms changes	to	to	to	to	0
ExB15	Food	EU	tms changes	to	to	to	to	0
ExB15	Mnfcs	EU	tms changes	to	to	to	to	0
ExB15	Svces	EU	tms changes	to	to	to	to	0
ExB15	Food	ROW	tms changes	to	to	to	to	0
ExB15	Mnfcs	ROW	tms changes	to	to	to	to	0
ExB15	Svces	ROW	tms changes	to	to	to	to	0
ExB15	Food	SSA	Total	to	to	to	to	0
ExB15	Mnfcs	SSA	Total	to	to	to	to	0
ExB15	Svces	SSA	Total	to	to	to	to	0
ExB15	Food	EU	Total	to	to	to	to	0
ExB15	Mnfcs	EU	Total	to	to	to	to	0
ExB15	Svces	EU	Total	to	to	to	to	0
ExB15	Food	ROW	Total	to	to	to	to	0
ExB15	Mnfcs	ROW	Total	to	to	to	to	0
ExB15	Svces	ROW	Total	to	to	to	to	0
ExB15	Food	SSA	to changes	to	to	to	to	0
ExB15	Mnfcs	SSA	to changes	to	to	to	to	0
ExB15	Svces	SSA	to changes	to	to	to	to	0
ExB15	Food	EU	to changes	to	to	to	to	0
ExB15	Mnfcs	EU	to changes	to	to	to	to	0
ExB15	Svces	EU	to changes	to	to	to	to	0
ExB15	Food	ROW	to changes	to	to	to	to	0
ExB15	Mnfcs	ROW	to changes	to	to	to	to	0
ExB15	Svces	ROW	to changes	to	to	to	to	0
ExB15	Food	SSA	txs changes	to	to	to	to	0
ExB15	Mnfcs	SSA	txs changes	to	to	to	to	0
ExB15	Svces	SSA	txs changes	to	to	to	to	0
ExB15	Food	EU	txs changes	to	to	to	to	0
ExB15	Mnfcs	EU	txs changes	to	to	to	to	0
ExB15	Svces	EU	txs changes	to	to	to	to	0
ExB15	Food	ROW	txs changes	to	to	to	to	0
ExB15	Mnfcs	ROW	txs changes	to	to	to	to	0
ExB15	Svces	ROW	txs changes	to	to	to	to	0
ExB15	Food	SSA	tms changes	to	to	to	to	0
ExB15	Mnfcs	SSA	tms changes	to	to	to	to	0
ExB15	Svces	SSA	tms changes	to	to	to	to	0
ExB15	Food	EU	tms changes	to	to	to	to	0
ExB15	Mnfcs	EU	tms changes	to	to	to	to	0
ExB15	Svces	EU	tms changes	to	to	to	to	0
ExB15	Food	ROW	tms changes	to	to	to	to	0
ExB15	Mnfcs	ROW	tms changes	to	to	to	to	0
ExB15	Svces	ROW	tms changes	to	to	to	to	0
ExB15	Food	SSA	Total	to	to	to	to	0
ExB15	Mnfcs	SSA	Total	to	to	to	to	0
ExB15	Svces	SSA	Total	to	to	to	to	0
ExB15	Food	EU	Total	to	to	to	to	0
ExB15	Mnfcs	EU	Total	to	to	to	to	0
ExB15	Svces	EU	Total	to	to	to	to	0
ExB15	Food	ROW	Total	to	to	to	to	0
ExB15	Mnfcs	ROW	Total	to	to	to	to	0
ExB15	Svces	ROW	Total	to	to	to	to	0
ExB15	Food	SSA	to changes	to	to	to	to	0
ExB15	Mnfcs	SSA	to changes	to	to	to	to	0
ExB15	Svces	SSA	to changes	to	to	to	to	0
ExB15	Food	EU	to changes	to	to	to	to	0
ExB15	Mnfcs	EU	to changes	to	to	to	to	0
ExB15	Svces	EU	to changes	to	to	to	to	0
ExB15	Food	ROW	to changes	to	to	to	to	0
ExB15	Mnfcs	ROW	to changes	to	to	to	to	0
ExB15	Svces	ROW	to changes	to	to	to	to	0
ExB15	Food	SSA	txs changes	to	to	to	to	0
ExB15	Mnfcs	SSA	txs changes	to	to	to	to	0
ExB15	Svces	SSA	txs changes	to	to	to	to	0
ExB15	Food	EU	txs changes	to	to	to	to	0
ExB15	Mnfcs	EU	txs changes	to	to	to	to	0
ExB15	Svces	EU	txs changes	to	to	to	to	0
ExB15	Food	ROW	txs changes	to	to	to	to	0
ExB15	Mnfcs	ROW	txs changes	to	to	to	to	0
ExB15	Svces	ROW	txs changes	to	to	to	to	0
ExB15	Food	SSA	tms changes	to	to	to	to	0
ExB15	Mnfcs	SSA	tms changes	to	to	to	to	0
ExB15	Svces	SSA	tms changes	to	to	to	to	0
ExB15	Food	EU	tms changes	to	to	to	to	0
ExB15	Mnfcs	EU	tms changes	to	to	to	to	0
ExB15	Svces	EU	tms changes	to	to	to	to	0
ExB15	Food	ROW	tms changes	to	to	to	to	0
ExB15	Mnfcs	ROW	tms changes	to	to	to	to	0
ExB15	Svces	ROW	tms changes	to	to	to	to	0
