Experiment	Sector	Destination	Type	Variable	GTAPVar	Description	Unit	Value	Dim1
ExB15	Food	SSA	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	SSA	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	SSA	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	EU	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	EU	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	EU	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	ROW	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	ROW	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	ROW	Total	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	SSA	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	SSA	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	SSA	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	EU	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	EU	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	EU	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	ROW	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	ROW	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	ROW	to changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	SSA	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	SSA	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	SSA	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	EU	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	EU	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	EU	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	ROW	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	ROW	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	ROW	txs changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	SSA	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	SSA	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	SSA	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	EU	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	EU	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	EU	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	ROW	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Mnfcs	ROW	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Svces	ROW	tms changes	tinc	tinc	tinc	tinc	0	Land
ExB15	Food	SSA	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Mnfcs	SSA	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Svces	SSA	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Food	EU	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Mnfcs	EU	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Svces	EU	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Food	ROW	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Mnfcs	ROW	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Svces	ROW	Total	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Food	SSA	to changes	tinc	tinc	tinc	tinc	0	UnskLab
ExB15	Mnfcs	SSA	to changes	tinc	tinc	tinc	tinc	0	UnskLab
