Experiment	Sector	Destination	Type	Variable	GTAPVar	Description	Unit	Value	Dim1
ExB15	Food	SSA	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	SSA	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	SSA	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	EU	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	EU	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	EU	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	ROW	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	ROW	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	ROW	Total	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	SSA	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	SSA	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	SSA	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	EU	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	EU	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	EU	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	ROW	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	ROW	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	ROW	to changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	SSA	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	SSA	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	SSA	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	EU	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	EU	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	EU	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	ROW	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	ROW	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	ROW	txs changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	SSA	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	SSA	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	SSA	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	EU	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	EU	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	EU	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Food	ROW	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Mnfcs	ROW	tms changes	qesf	qesf	qesf	qesf	0	NatRes
ExB15	Svces	ROW	tms changes	qesf	qesf	qesf	qesf	0	NatRes
